,All_Seats,Torque_force,Car_Prices,Performance,Total_speed,Horse_Power,CC
0,2.0,800.0,1100000.0,2.0,340,963,3990.0
1,5.0,900.0,460000.0,5.0,250,563,6749.0
2,5.0,100.0,0.0,10.0,165,70,1200.0
3,4.0,900.0,161000.0,3.0,250,630,3982.0
4,2.0,560.0,253290.0,3.0,320,602,5204.0
5,2.0,770.0,499000.0,2.0,341,710,3994.0
6,2.0,685.0,193440.0,3.0,314,656,3982.0
7,4.0,900.0,311000.0,4.0,318,550,3996.0
8,2.0,690.0,4500000.0,2.0,356,750,6498.0
9,2.0,770.0,280000.0,2.0,340,710,3900.0
10,2.0,718.0,350000.0,2.0,340,789,6496.0
11,0.0,760.0,210000.0,3.0,320,592,3900.0
12,0.0,760.0,230000.0,3.0,320,612,3900.0
13,2.0,719.0,1700000.0,2.0,340,789,6496.0
14,2.0,770.0,280000.0,2.0,340,710,3900.0
15,0.0,760.0,220000.0,3.0,320,612,3900.0
16,0.0,760.0,240000.0,3.0,320,612,3900.0
17,2.0,500.0,53900.0,4.0,250,382,2998.0
18,0.0,205.0,27000.0,6.0,226,205,1998.0
19,4.0,250.0,30000.0,5.0,226,228,2387.0
20,7.0,500.0,85000.0,6.0,220,381,5663.0
21,7.0,651.0,50000.0,6.0,200,381,5663.0
22,4.0,637.0,113000.0,2.0,315,600,3799.0
23,2.0,366.0,30000.0,4.0,250,332,3696.0
24,2.0,475.0,40000.0,4.0,290,400,2998.0
25,5.0,380.0,25000.0,7.0,225,188,2488.0
26,5.0,354.0,35000.0,5.0,240,300,3498.0
27,5.0,240.0,20000.0,8.0,200,149,1998.0
28,5.0,270.0,28000.0,7.0,200,201,2488.0
29,7.0,351.0,35000.0,6.0,225,284,3498.0
30,5.0,381.0,30000.0,6.0,180,310,3799.0
31,5.0,560.0,40000.0,5.0,200,400,5598.0
32,2.0,900.0,3200000.0,2.0,402,1160,6496.0
33,2.0,1000.0,1100000.0,2.0,362,1000,3996.0
34,2.0,900.0,316000.0,3.0,340,715,5204.0
35,4.0,700.0,208000.0,3.0,322,600,5204.0
36,2.0,685.0,142000.0,3.0,313,503,3996.0
37,5.0,700.0,189000.0,4.0,291,542,3996.0
38,4.0,630.0,240000.0,4.0,328,580,5935.0
39,2.0,630.0,294000.0,3.0,324,580,5935.0
40,4.0,630.0,1100000.0,4.0,314,540,5935.0
41,2.0,821.0,1300000.0,2.0,320,836,5204.0
42,2.0,720.0,2800000.0,2.0,350,819,6498.0
43,2.0,720.0,518000.0,2.0,350,759,6498.0
44,2.0,600.0,274000.0,2.0,325,640,5204.0
45,2.0,600.0,261000.0,2.0,325,640,5204.0
46,2.0,690.0,493000.0,2.0,350,740,6498.0
47,5.0,850.0,211000.0,3.0,305,641,3996.0
48,2.0,600.0,287000.0,3.0,325,610,5204.0
49,2.0,690.0,445000.0,3.0,350,700,6498.0
50,2.0,600.0,308000.0,3.0,325,640,5204.0
51,2.0,690.0,421000.0,2.0,350,740,6498.0
52,2.0,600.0,287000.0,3.0,325,640,5204.0
53,5.0,850.0,242000.0,3.0,305,641,3996.0
54,2.0,720.0,545000.0,2.0,355,769,6498.0
55,2.0,560.0,258000.0,3.0,325,610,5204.0
56,2.0,720.0,573000.0,2.0,350,759,6498.0
57,5.0,850.0,263000.0,3.0,305,671,3996.0
58,2.0,565.0,327000.0,3.0,325,640,5204.0
59,2.0,720.0,545000.0,2.0,355,769,6498.0
60,2.0,600.0,273000.0,3.0,325,610,5204.0
61,2.0,720.0,603000.0,2.0,350,759,6498.0
62,5.0,850.0,253000.0,3.0,305,641,3998.0
63,2.0,565.0,342000.0,3.0,325,640,5204.0
64,2.0,720.0,573000.0,2.0,355,769,6498.0
65,5.0,850.0,332000.0,4.0,250,591,6592.0
66,4.0,870.0,330000.0,4.0,250,624,6592.0
67,4.0,870.0,360000.0,4.0,250,624,6592.0
68,5.0,850.0,325000.0,5.0,250,563,6749.0
69,5.0,900.0,500000.0,5.0,250,563,6749.0
70,5.0,850.0,370000.0,4.0,250,591,6592.0
71,4.0,870.0,360000.0,4.0,250,624,6592.0
72,4.0,870.0,390000.0,4.0,250,624,6592.0
73,5.0,850.0,350000.0,5.0,250,563,6749.0
74,4.0,870.0,450000.0,5.0,250,563,6749.0
75,4.0,850.0,340000.0,4.0,250,591,6592.0
76,4.0,870.0,330000.0,4.0,250,624,6592.0
77,4.0,870.0,380000.0,4.0,250,624,6592.0
78,5.0,850.0,320000.0,5.0,250,563,6749.0
79,5.0,700.0,116000.0,4.0,250,496,3982.0
80,5.0,850.0,104000.0,3.0,250,603,3982.0
81,5.0,500.0,53000.0,4.0,250,382,1991.0
82,5.0,850.0,113000.0,4.0,250,603,3982.0
83,5.0,700.0,109000.0,4.0,250,429,2996.0
84,5.0,500.0,62000.0,5.0,250,362,2996.0
85,5.0,500.0,70000.0,5.0,250,362,2996.0
86,5.0,700.0,99000.0,4.0,250,429,2996.0
87,5.0,500.0,63000.0,5.0,250,362,2996.0
88,5.0,500.0,53000.0,3.0,250,416,1991.0
89,5.0,520.0,52000.0,4.0,250,402,2996.0
90,5.0,500.0,49000.0,5.0,250,255,1991.0
91,5.0,500.0,53000.0,6.0,250,255,1991.0
92,5.0,520.0,54000.0,4.0,250,402,2996.0
93,5.0,500.0,48000.0,4.0,250,382,1991.0
94,5.0,500.0,46000.0,6.0,250,255,1991.0
95,5.0,620.0,71000.0,5.0,250,429,2996.0
96,5.0,500.0,90000.0,6.0,250,255,1991.0
97,5.0,950.0,102000.0,3.0,250,751,0.0
98,5.0,1000.0,200000.0,4.0,250,630,5980.0
99,5.0,750.0,142000.0,3.0,305,627,4395.0
100,4.0,600.0,133000.0,3.0,305,493,2993.0
101,5.0,650.0,76000.0,3.0,285,503,2993.0
102,4.0,550.0,83000.0,4.0,280,444,2993.0
103,5.0,750.0,114000.0,4.0,285,523,4935.0
104,5.0,650.0,69000.0,4.0,285,503,2993.0
105,5.0,750.0,146000.0,3.0,305,523,4395.0
106,4.0,750.0,108000.0,3.0,285,523,4935.0
107,4.0,840.0,398000.0,4.0,250,563,6592.0
108,5.0,850.0,381000.0,5.0,250,563,6749.0
109,5.0,900.0,475000.0,5.0,250,563,6749.0
110,5.0,900.0,335000.0,4.0,250,563,6749.0
111,4.0,800.0,349000.0,4.0,250,623,6592.0
112,5.0,900.0,495000.0,5.0,250,563,6749.0
113,5.0,900.0,355000.0,4.0,250,563,6749.0
114,4.0,800.0,369000.0,4.0,250,623,6592.0
115,4.0,840.0,418000.0,4.0,250,563,6592.0
116,5.0,850.0,401000.0,5.0,250,563,6749.0
117,5.0,900.0,515000.0,5.0,250,563,6749.0
118,5.0,900.0,375000.0,4.0,250,563,6749.0
119,4.0,800.0,389000.0,4.0,250,623,6592.0
120,4.0,840.0,439000.0,4.0,250,563,6592.0
121,5.0,850.0,421000.0,5.0,250,563,6749.0
122,2.0,560.0,194000.0,3.0,330,610,5204.0
123,5.0,800.0,114000.0,3.0,305,591,3993.0
124,5.0,800.0,101000.0,4.0,305,563,3993.0
125,5.0,800.0,109000.0,3.0,305,591,3993.0
126,5.0,650.0,96000.0,4.0,305,563,3993.0
127,5.0,600.0,86000.0,5.0,250,335,2995.0
128,4.0,500.0,64000.0,4.0,250,349,2995.0
129,5.0,500.0,62000.0,5.0,250,349,2995.0
130,5.0,500.0,59000.0,4.0,250,349,2995.0
131,5.0,400.0,52000.0,4.0,250,306,1984.0
132,7.0,600.0,60000.0,6.0,250,335,2995.0
133,5.0,500.0,43000.0,6.0,240,248,1984.0
134,5.0,600.0,68000.0,5.0,250,335,2995.0
135,5.0,600.0,58000.0,5.0,250,335,2995.0
136,4.0,500.0,45000.0,6.0,240,248,1984.0
137,5.0,400.0,39000.0,6.0,240,248,1984.0
138,5.0,400.0,35000.0,7.0,230,248,1984.0
139,5.0,664.0,75000.0,5.0,200,402,95.0
140,5.0,664.0,78000.0,5.0,200,402,95.0
141,2.0,400.0,49000.0,5.0,250,248,1984.0
142,2.0,570.0,165000.0,4.0,250,369,11.0
143,5.0,400.0,45000.0,5.0,250,255,1998.0
144,5.0,500.0,57000.0,4.0,250,382,2998.0
145,4.0,400.0,48000.0,5.0,250,255,1998.0
146,4.0,650.0,81000.0,3.0,290,503,2993.0
147,5.0,400.0,57000.0,5.0,250,248,1998.0
148,5.0,650.0,78000.0,3.0,250,523,4395.0
149,5.0,220.0,32000.0,8.0,213,136,1499.0
150,5.0,400.0,42000.0,6.0,250,261,1998.0
151,5.0,450.0,30000.0,4.0,250,302,1998.0
152,5.0,280.0,30000.0,10.0,200,116,1496.0
153,5.0,400.0,38000.0,6.0,230,190,1995.0
154,5.0,200.0,28000.0,10.0,200,109,1499.0
155,5.0,380.0,34000.0,8.0,216,150,1995.0
156,5.0,300.0,37000.0,7.0,230,178,1998.0
157,5.0,400.0,42000.0,6.0,240,224,1998.0
158,5.0,270.0,27000.0,12.0,185,95,1496.0
159,5.0,200.0,26000.0,11.0,195,102,1598.0
160,5.0,400.0,44000.0,6.0,240,224,1995.0
161,5.0,250.0,34000.0,8.0,211,136,1499.0
162,5.0,270.0,30000.0,10.0,200,116,1496.0
163,5.0,250.0,35000.0,8.0,213,136,1499.0
164,5.0,250.0,37000.0,8.0,213,136,1499.0
165,5.0,300.0,39000.0,7.0,230,178,1998.0
166,5.0,200.0,29000.0,10.0,195,109,1598.0
167,5.0,270.0,31000.0,10.0,200,116,1496.0
168,5.0,400.0,39000.0,7.0,225,163,1995.0
169,5.0,250.0,36000.0,8.0,213,136,1499.0
170,5.0,380.0,36000.0,8.0,216,150,1995.0
