name,price,rating,link
"Samsung Galaxy S26 Ultra, Unlocked Android Smartphone, 512GB","362,632",,https://www.amazon.com/Samsung-Unlocked-Smartphone-Charging-Warranty/dp/B0G4SW3XXP/ref=sr_1_1?dib=eyJ2IjoiMSJ9.QVTyZiX5P-OCYqxVTy6-zC9x4OKvgOsDte-VcYFvPENsDM1RMCio6ttkqHPPFUsebVyfY0hGDnuLnXhekKWXopaaJcgxKYBobzMHpvY80XnUaD9CIXoiofhSRGCUa4hiJWYzqkS0wYiiZvv2SxIdRy8xvOq9e-wp-XNOb90C1L-CNYoTkkKV-xVPBCEkG5DOD3p8wQi5-6cvDZJMBkZBAnzpCoNOE1vv6aN_Nu_iKDmQMovRpqR_ZnJTy9ntHBURQjjVL8Lrcs2q29HSo9Bviwsjj46g8aL6adqGnBt5pXM.cZZ-8w8mN9u3agX13Rds9Qdp_n71iGvPms_mJfetsC0&dib_tag=se&keywords=mobile&qid=1776683671&sr=8-1
Moto G Power 5G | 2024 | Unlocked | Made for US 8/128GB | 50,"35,476",,https://www.amazon.com/Power-Unlocked-128GB-Camera-Midnight/dp/B0CT6BQV81/ref=sr_1_2?dib=eyJ2IjoiMSJ9.QVTyZiX5P-OCYqxVTy6-zC9x4OKvgOsDte-VcYFvPENsDM1RMCio6ttkqHPPFUsebVyfY0hGDnuLnXhekKWXopaaJcgxKYBobzMHpvY80XnUaD9CIXoiofhSRGCUa4hiJWYzqkS0wYiiZvv2SxIdRy8xvOq9e-wp-XNOb90C1L-CNYoTkkKV-xVPBCEkG5DOD3p8wQi5-6cvDZJMBkZBAnzpCoNOE1vv6aN_Nu_iKDmQMovRpqR_ZnJTy9ntHBURQjjVL8Lrcs2q29HSo9Bviwsjj46g8aL6adqGnBt5pXM.cZZ-8w8mN9u3agX13Rds9Qdp_n71iGvPms_mJfetsC0&dib_tag=se&keywords=mobile&qid=1776683671&sr=8-2
"Samsung Galaxy A16 4G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLE","36,260",,https://www.amazon.com/SAMSUNG-Resistant-Unlocked-International-DS/dp/B0DNRGQRB4/ref=sr_1_3?dib=eyJ2IjoiMSJ9.QVTyZiX5P-OCYqxVTy6-zC9x4OKvgOsDte-VcYFvPENsDM1RMCio6ttkqHPPFUsebVyfY0hGDnuLnXhekKWXopaaJcgxKYBobzMHpvY80XnUaD9CIXoiofhSRGCUa4hiJWYzqkS0wYiiZvv2SxIdRy8xvOq9e-wp-XNOb90C1L-CNYoTkkKV-xVPBCEkG5DOD3p8wQi5-6cvDZJMBkZBAnzpCoNOE1vv6aN_Nu_iKDmQMovRpqR_ZnJTy9ntHBURQjjVL8Lrcs2q29HSo9Bviwsjj46g8aL6adqGnBt5pXM.cZZ-8w8mN9u3agX13Rds9Qdp_n71iGvPms_mJfetsC0&dib_tag=se&keywords=mobile&qid=1776683671&sr=8-3
EERKEOD Baby Crib Mobile Bear Nursery Mobile for Boys Girls ,"6,692",,https://www.amazon.com/EERKEOD-Nursery-Bedroom-Bassinet-Gift%EF%BC%88Brown/dp/B0D543WKJJ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.QVTyZiX5P-OCYqxVTy6-zC9x4OKvgOsDte-VcYFvPENsDM1RMCio6ttkqHPPFUsebVyfY0hGDnuLnXhekKWXopaaJcgxKYBobzMHpvY80XnUaD9CIXoiofhSRGCUa4hiJWYzqkS0wYiiZvv2SxIdRy8xvOq9e-wp-XNOb90C1L-CNYoTkkKV-xVPBCEkG5DOD3p8wQi5-6cvDZJMBkZBAnzpCoNOE1vv6aN_Nu_iKDmQMovRpqR_ZnJTy9ntHBURQjjVL8Lrcs2q29HSo9Bviwsjj46g8aL6adqGnBt5pXM.cZZ-8w8mN9u3agX13Rds9Qdp_n71iGvPms_mJfetsC0&dib_tag=se&keywords=mobile&qid=1776683671&sr=8-4
Motorola Moto G Play | 2024 | Unlocked | Made for US 4/64GB ,"31,008",,https://www.amazon.com/Moto-Play-Unlocked-Camera-Sapphire/dp/B0CP6DDN1H/ref=sr_1_5?dib=eyJ2IjoiMSJ9.QVTyZiX5P-OCYqxVTy6-zC9x4OKvgOsDte-VcYFvPENsDM1RMCio6ttkqHPPFUsebVyfY0hGDnuLnXhekKWXopaaJcgxKYBobzMHpvY80XnUaD9CIXoiofhSRGCUa4hiJWYzqkS0wYiiZvv2SxIdRy8xvOq9e-wp-XNOb90C1L-CNYoTkkKV-xVPBCEkG5DOD3p8wQi5-6cvDZJMBkZBAnzpCoNOE1vv6aN_Nu_iKDmQMovRpqR_ZnJTy9ntHBURQjjVL8Lrcs2q29HSo9Bviwsjj46g8aL6adqGnBt5pXM.cZZ-8w8mN9u3agX13Rds9Qdp_n71iGvPms_mJfetsC0&dib_tag=se&keywords=mobile&qid=1776683671&sr=8-5
"Samsung Galaxy S26, Unlocked Android Smartphone, 256GB, Powe","223,157",,https://www.amazon.com/Samsung-Unlocked-Smartphone-Processor-Immersive/dp/B0G4SW96R4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.QVTyZiX5P-OCYqxVTy6-zC9x4OKvgOsDte-VcYFvPENsDM1RMCio6ttkqHPPFUsebVyfY0hGDnuLnXhekKWXopaaJcgxKYBobzMHpvY80XnUaD9CIXoiofhSRGCUa4hiJWYzqkS0wYiiZvv2SxIdRy8xvOq9e-wp-XNOb90C1L-CNYoTkkKV-xVPBCEkG5DOD3p8wQi5-6cvDZJMBkZBAnzpCoNOE1vv6aN_Nu_iKDmQMovRpqR_ZnJTy9ntHBURQjjVL8Lrcs2q29HSo9Bviwsjj46g8aL6adqGnBt5pXM.cZZ-8w8mN9u3agX13Rds9Qdp_n71iGvPms_mJfetsC0&dib_tag=se&keywords=mobile&qid=1776683671&sr=8-6
"Baby Crib Mobile with Music and Lights, Nursery Baby Mobile ","8,365",,https://www.amazon.com/Playix-Bassinet-Rotation-Starlight-Projection/dp/B0G44CVN3K/ref=sr_1_7?dib=eyJ2IjoiMSJ9.QVTyZiX5P-OCYqxVTy6-zC9x4OKvgOsDte-VcYFvPENsDM1RMCio6ttkqHPPFUsebVyfY0hGDnuLnXhekKWXopaaJcgxKYBobzMHpvY80XnUaD9CIXoiofhSRGCUa4hiJWYzqkS0wYiiZvv2SxIdRy8xvOq9e-wp-XNOb90C1L-CNYoTkkKV-xVPBCEkG5DOD3p8wQi5-6cvDZJMBkZBAnzpCoNOE1vv6aN_Nu_iKDmQMovRpqR_ZnJTy9ntHBURQjjVL8Lrcs2q29HSo9Bviwsjj46g8aL6adqGnBt5pXM.cZZ-8w8mN9u3agX13Rds9Qdp_n71iGvPms_mJfetsC0&dib_tag=se&keywords=mobile&qid=1776683671&sr=8-7
The Peanutshell Crib Mobile for Girls - Pink and White Music,"11,155",,https://www.amazon.com/Peanutshell-Woodland-Musical-Mobile-Girls/dp/B0C7T23J3Y/ref=sr_1_8?dib=eyJ2IjoiMSJ9.QVTyZiX5P-OCYqxVTy6-zC9x4OKvgOsDte-VcYFvPENsDM1RMCio6ttkqHPPFUsebVyfY0hGDnuLnXhekKWXopaaJcgxKYBobzMHpvY80XnUaD9CIXoiofhSRGCUa4hiJWYzqkS0wYiiZvv2SxIdRy8xvOq9e-wp-XNOb90C1L-CNYoTkkKV-xVPBCEkG5DOD3p8wQi5-6cvDZJMBkZBAnzpCoNOE1vv6aN_Nu_iKDmQMovRpqR_ZnJTy9ntHBURQjjVL8Lrcs2q29HSo9Bviwsjj46g8aL6adqGnBt5pXM.cZZ-8w8mN9u3agX13Rds9Qdp_n71iGvPms_mJfetsC0&dib_tag=se&keywords=mobile&qid=1776683671&sr=8-8
"Baby Crib Mobile with Music and Lights, Nursery Baby Mobile ","8,365",,https://www.amazon.com/Playix-Bassinet-Rotation-Starlight-Projection/dp/B0G44D218F/ref=sr_1_9?dib=eyJ2IjoiMSJ9.QVTyZiX5P-OCYqxVTy6-zC9x4OKvgOsDte-VcYFvPENsDM1RMCio6ttkqHPPFUsebVyfY0hGDnuLnXhekKWXopaaJcgxKYBobzMHpvY80XnUaD9CIXoiofhSRGCUa4hiJWYzqkS0wYiiZvv2SxIdRy8xvOq9e-wp-XNOb90C1L-CNYoTkkKV-xVPBCEkG5DOD3p8wQi5-6cvDZJMBkZBAnzpCoNOE1vv6aN_Nu_iKDmQMovRpqR_ZnJTy9ntHBURQjjVL8Lrcs2q29HSo9Bviwsjj46g8aL6adqGnBt5pXM.cZZ-8w8mN9u3agX13Rds9Qdp_n71iGvPms_mJfetsC0&dib_tag=se&keywords=mobile&qid=1776683671&sr=8-9
"Baby Mobile for Crib, Baby Crib Mobile for Boys Girls, Baby ","6,692",,https://www.amazon.com/Ikubigu-Bassinet-Nursery-Bedroom-Hanging/dp/B0CDXJBB2D/ref=sr_1_10?dib=eyJ2IjoiMSJ9.QVTyZiX5P-OCYqxVTy6-zC9x4OKvgOsDte-VcYFvPENsDM1RMCio6ttkqHPPFUsebVyfY0hGDnuLnXhekKWXopaaJcgxKYBobzMHpvY80XnUaD9CIXoiofhSRGCUa4hiJWYzqkS0wYiiZvv2SxIdRy8xvOq9e-wp-XNOb90C1L-CNYoTkkKV-xVPBCEkG5DOD3p8wQi5-6cvDZJMBkZBAnzpCoNOE1vv6aN_Nu_iKDmQMovRpqR_ZnJTy9ntHBURQjjVL8Lrcs2q29HSo9Bviwsjj46g8aL6adqGnBt5pXM.cZZ-8w8mN9u3agX13Rds9Qdp_n71iGvPms_mJfetsC0&dib_tag=se&keywords=mobile&qid=1776683671&sr=8-10
